loss,acc
2.4968013763427734,0.2633552849292755
1.9976168870925903,0.39371514320373535
1.8161464929580688,0.44237202405929565
1.6707370281219482,0.4840344786643982
1.5387619733810425,0.5244804620742798
1.4368289709091187,0.5562087893486023
1.3416850566864014,0.5853015780448914
1.2803548574447632,0.6043588519096375
1.2065669298171997,0.6213887333869934
1.1365892887115479,0.6450076103210449
1.0695523023605347,0.664166271686554
1.0250712633132935,0.6783578395843506
0.9734430313110352,0.6885960698127747
0.9107397198677063,0.7071464657783508
0.9123213887214661,0.7092751860618591
0.8655397891998291,0.7202230095863342
0.8525927066802979,0.7285352349281311
0.8022440075874329,0.7447541952133179
0.7652616500854492,0.7581348419189453
0.7416702508926392,0.7628991603851318
0.7157662510871887,0.7768880128860474
0.6981752514839172,0.773036003112793
0.6860290765762329,0.7823618650436401
0.6800497174263,0.7832741737365723
0.6531332731246948,0.790978193283081
0.6274845600128174,0.7978712916374207
0.6088883280754089,0.8028383255004883
0.5942323207855225,0.8073998689651489
0.5887123346328735,0.8103395700454712
0.5580819845199585,0.819462776184082
0.5674206018447876,0.8172326683998108
0.5255478024482727,0.8297009468078613
0.513889491558075,0.8337557315826416
0.5193317532539368,0.8306132555007935
0.5091137886047363,0.8334515690803528
0.4863148629665375,0.8411555886268616
0.46964865922927856,0.8471363186836243
0.44766321778297424,0.854536235332489
0.45669981837272644,0.8490623235702515
0.45090746879577637,0.8536239266395569
0.4321926534175873,0.8569690585136414
0.4236421287059784,0.8608210682868958
0.4101102650165558,0.8651799559593201
0.42036259174346924,0.862341582775116
0.40050336718559265,0.8706538081169128
0.3851346969604492,0.8756209015846252
0.38930028676986694,0.8724784851074219
0.38213878870010376,0.8767359256744385
0.36768651008605957,0.8753167986869812
0.36718735098838806,0.8750126957893372
